question,intent,entities,answer
I want to know Can I get water delivery today? today,delivery_query,,Delivery usually takes 2 hours.
Could you tell me What is the price of 1 liter bottle? today,price_query,,The 1 liter bottle costs around ₹18.
Please help me with Do you deliver 20L jars? in Pune,delivery_query,"Pune, 20L Jar",Delivery usually takes 2 hours.
Could you tell me Do you offer private labeling? in Pune,branding_query,Pune,Custom branding is available for bulk orders.
Please tell me Is your water purified? right now,quality_query,,Our water goes through advanced purification.
Please tell me Do you provide branded bottles? right now,branding_query,,Custom branding is available for bulk orders.
May I know Do you deliver 20L jars? quickly,delivery_query,20L Jar,We deliver 20L jars and bottled water.
I want to know Tell me the bottle prices. quickly,price_query,,The 1 liter bottle costs around ₹18.
Could you tell me Can I customize water bottles? right now,branding_query,,Custom branding is available for bulk orders.
Please help me with Can I customize water bottles? for home delivery,branding_query,,Custom branding is available for bulk orders.
Please help me with Do you use RO filtration? quickly,quality_query,,"Yes, our water is hygienic and safe."
Can you explain Do you provide delivery in Pune? in PCMC,delivery_query,"Pune, PCMC",Same day delivery is available.
Give information about What is the price of 1 liter bottle? quickly,price_query,,The 1 liter bottle costs around ₹18.
Please tell me Can I get water delivery today? quickly,delivery_query,,"Yes, we provide delivery across Pune."
May I know Hello right now,greeting,,Welcome to our AI assistant.
Please help me with Do you offer bulk pricing? in Pune,price_query,Pune,Bulk pricing is available for large orders.
Can you explain Do you offer private labeling? for home delivery,branding_query,,Custom branding is available for bulk orders.
Please tell me Do you print logos on bottles? today,branding_query,,Custom branding is available for bulk orders.
I want to know Can I get water delivery today? today,delivery_query,,Same day delivery is available.
Can you explain How much is the 20L jar? for business use,price_query,20L Jar,The 1 liter bottle costs around ₹18.
Please tell me How can I contact you? for business use,contact_query,,You can contact us through our website.
I want to know What filtration process do you use? right now,quality_query,,Our water goes through advanced purification.
Please help me with Do you deliver 20L jars? quickly,delivery_query,20L Jar,Same day delivery is available.
Please help me with What is the price of 1 liter bottle? today,price_query,,Bulk pricing is available for large orders.
Give information about Is the water safe to drink? today,quality_query,,We use multi-stage filtration and RO purification.
Give information about Can I get water delivery today? for business use,delivery_query,,"Yes, we provide delivery across Pune."
I want to know How long does delivery take? for home delivery,delivery_query,,"Yes, we provide delivery across Pune."
Please help me with Do you deliver 20L jars? for home delivery,delivery_query,20L Jar,We deliver 20L jars and bottled water.
Can you explain Can I customize water bottles? in Pune,branding_query,Pune,Custom branding is available for bulk orders.
Please help me with What filtration process do you use? for home delivery,quality_query,,"Yes, our water is hygienic and safe."
I want to know Do you print logos on bottles? for home delivery,branding_query,,We offer logo printing on water bottles.
Please help me with Do you offer bulk pricing? in PCMC,price_query,PCMC,The 1 liter bottle costs around ₹18.
I want to know Do you deliver 20L jars? in Pune,delivery_query,"Pune, 20L Jar",Same day delivery is available.
I want to know What filtration process do you use? right now,quality_query,,We use multi-stage filtration and RO purification.
Can you explain Is support available? today,greeting,,Hello! Welcome to Gagangiri Foods.
Can you explain Do you provide branded bottles? right now,branding_query,,Custom branding is available for bulk orders.
Can you explain Do you provide branded bottles? in PCMC,branding_query,PCMC,"Yes, we provide private labeling services."
Could you tell me What filtration process do you use? today,quality_query,,"Yes, our water is hygienic and safe."
I want to know Do you print logos on bottles? right now,branding_query,,We offer logo printing on water bottles.
May I know Do you offer private labeling? in Pune,branding_query,Pune,We offer logo printing on water bottles.
Could you tell me Is same day delivery available? for business use,delivery_query,,"Yes, we provide delivery across Pune."
Can you explain Do you offer bulk pricing? in Pune,price_query,Pune,The 1 liter bottle costs around ₹18.
Can you explain Hello today,greeting,,Hi! How can we help you today?
Could you tell me Is the water safe to drink? quickly,quality_query,,We use multi-stage filtration and RO purification.
Can you explain Can I customize water bottles? in PCMC,branding_query,PCMC,We offer logo printing on water bottles.
I want to know Can I call for orders? for home delivery,contact_query,,Customer support is available during business hours.
Could you tell me How much is the 20L jar? right now,price_query,20L Jar,The 1 liter bottle costs around ₹18.
Please help me with Namaste today,greeting,,Greetings from Gagangiri Foods.
Give information about Is your water purified? in PCMC,quality_query,PCMC,Our water goes through advanced purification.
Please tell me Hey right now,greeting,,Hi! How can we help you today?
I want to know Do you offer bulk pricing? for home delivery,price_query,,The 1 liter bottle costs around ₹18.
Give information about What is the price of 1 liter bottle? in Pune,price_query,Pune,The 20L refill jar costs approximately ₹40.
Could you tell me Can I call for orders? in PCMC,contact_query,PCMC,You can contact us through our website.
Can you explain How long does delivery take? quickly,delivery_query,,Same day delivery is available.
I want to know Do you offer bulk pricing? in PCMC,price_query,PCMC,The 1 liter bottle costs around ₹18.
Give information about Is same day delivery available? in Pune,delivery_query,Pune,We deliver 20L jars and bottled water.
May I know Hi right now,greeting,,Hello! Welcome to Gagangiri Foods.
Can you explain How much is the 20L jar? today,price_query,20L Jar,The 1 liter bottle costs around ₹18.
Could you tell me Hello right now,greeting,,Hi! How can we help you today?
May I know Do you print logos on bottles? right now,branding_query,,Custom branding is available for bulk orders.
May I know What filtration process do you use? in Pune,quality_query,Pune,Our water goes through advanced purification.
I want to know Do you provide delivery in Pune? quickly,delivery_query,Pune,Delivery usually takes 2 hours.
Can you explain Hello for home delivery,greeting,,Welcome to our AI assistant.
Please tell me Do you provide delivery in Pune? quickly,delivery_query,Pune,"Yes, we provide delivery across Pune."
Please help me with Can I customize water bottles? in PCMC,branding_query,PCMC,"Yes, we provide private labeling services."
I want to know Do you offer private labeling? in PCMC,branding_query,PCMC,Custom branding is available for bulk orders.
Please help me with How much is the 20L jar? in PCMC,price_query,"PCMC, 20L Jar",The 20L refill jar costs approximately ₹40.
Please help me with How do I place an order? right now,contact_query,,You can contact us through our website.
Please help me with Is the water safe to drink? today,quality_query,,"Yes, our water is hygienic and safe."
Could you tell me Do you have customer support? in Pune,contact_query,Pune,Please use the contact form for assistance.
I want to know Do you print logos on bottles? for business use,branding_query,,Custom branding is available for bulk orders.
Could you tell me Do you offer private labeling? for home delivery,branding_query,,"Yes, we provide private labeling services."
Please tell me Do you use RO filtration? for home delivery,quality_query,,We use multi-stage filtration and RO purification.
Can you explain What is the price of 1 liter bottle? quickly,price_query,,The 1 liter bottle costs around ₹18.
Please help me with Namaste for home delivery,greeting,,Welcome to our AI assistant.
Can you explain Do you have customer support? in PCMC,contact_query,PCMC,Customer support is available during business hours.
Could you tell me Do you offer private labeling? in PCMC,branding_query,PCMC,"Yes, we provide private labeling services."
May I know What filtration process do you use? for home delivery,quality_query,,"Yes, our water is hygienic and safe."
Please tell me How long does delivery take? in Pune,delivery_query,Pune,Same day delivery is available.
I want to know Do you use RO filtration? for home delivery,quality_query,,We use multi-stage filtration and RO purification.
Give information about How can I contact you? for business use,contact_query,,You can contact us through our website.
Please tell me How can I contact you? for home delivery,contact_query,,Please use the contact form for assistance.
I want to know What is the price of 1 liter bottle? for business use,price_query,,Bulk pricing is available for large orders.
Please tell me Do you offer bulk pricing? today,price_query,,Bulk pricing is available for large orders.
Please tell me Do you print logos on bottles? in Pune,branding_query,Pune,We offer logo printing on water bottles.
Please help me with How much is the 20L jar? for business use,price_query,20L Jar,Bulk pricing is available for large orders.
Give information about Is your water purified? right now,quality_query,,We use multi-stage filtration and RO purification.
Could you tell me Do you have customer support? in PCMC,contact_query,PCMC,You can contact us through our website.
May I know Hey for home delivery,greeting,,Greetings from Gagangiri Foods.
Please tell me Do you print logos on bottles? quickly,branding_query,,Custom branding is available for bulk orders.
Please tell me Can I get water delivery today? today,delivery_query,,"Yes, we provide delivery across Pune."
Could you tell me How much is the 20L jar? in Pune,price_query,"Pune, 20L Jar",The 20L refill jar costs approximately ₹40.
Give information about How do I place an order? today,contact_query,,Please use the contact form for assistance.
I want to know Can you help me? for home delivery,greeting,,Hello! Welcome to Gagangiri Foods.
Could you tell me Do you use RO filtration? in PCMC,quality_query,PCMC,We use multi-stage filtration and RO purification.
